0 0 33.5223
0.134089 0 33.3882
0.268178 0 33.2541
0.402267 0 33.12
0.536356 0 32.9859
0.670446 0 32.8518
0.804535 0 32.7177
0.938624 0 32.5837
1.07271 0 32.4496
1.2068 0 32.3155
1.34089 0 32.1814
1.47498 0 32.0473
1.60907 0 31.9132
1.74316 0 31.7791
1.87725 0 31.645
2.01134 0 31.5109
2.14543 0 31.3768
2.27951 0 31.2428
2.4136 0 31.1087
2.54769 0 30.9746
2.68178 0 30.8405
2.81587 0 30.7064
2.94996 0 30.5723
3.08405 0 30.4382
3.21814 0 30.3041
3.35223 0 30.17
3.48632 0 30.036
3.62041 0 29.9019
3.75449 0 29.7678
3.88858 0 29.6337
4.02267 0 29.4996
4.15676 0 29.3655
4.29085 0 29.2314
4.42494 0 29.0973
4.55903 0 28.9632
4.69312 0 28.8292
4.82721 0 28.6951
4.9613 0 28.561
5.09539 0 28.4269
5.22947 0 28.2928
5.36356 0 28.1587
5.49765 0 28.0246
5.63174 0 27.8905
5.76583 0 27.7564
5.89992 0 27.6224
6.03401 0 27.4883
6.1681 0 27.3542
6.30219 0 27.2201
6.43628 0 27.086
6.57037 0 26.9519
6.70446 0 26.8178
6.83854 0 26.6837
6.97263 0 26.5496
7.10672 0 26.4156
7.24081 0 26.2815
7.3749 0 26.1474
7.50899 0 26.0133
7.64308 0 25.8792
7.77717 0 25.7451
7.91126 0 25.611
8.04535 0 25.4769
8.17944 0 25.3428
8.31352 0 25.2088
8.44761 0 25.0747
8.5817 0 24.9406
8.71579 0 24.8065
8.84988 0 24.6724
8.98397 0 24.5383
9.11806 0 24.4042
9.25215 0 24.2701
9.38624 0 24.136
9.52033 0 24.0019
9.65442 0 23.8679
9.7885 0 23.7338
9.92259 0 23.5997
10.0567 0 23.4656
10.1908 0 23.3315
10.3249 0 23.1974
10.4589 0 23.0633
10.593 0 22.9292
10.7271 0 22.7951
10.8612 0 22.6611
10.9953 0 22.527
11.1294 0 22.3929
11.2635 0 22.2588
11.3976 0 22.1247
11.5317 0 21.9906
11.6658 0 21.8565
11.7998 0 21.7224
11.9339 0 21.5883
12.068 0 21.4543
12.2021 0 21.3202
12.3362 0 21.1861
12.4703 0 21.052
12.6044 0 20.9179
12.7385 0 20.7838
12.8726 0 20.6497
13.0066 0 20.5156
13.1407 0 20.3815
13.2748 0 20.2475
13.4089 0 20.1134
13.543 0 19.9793
13.6771 0 19.8452
13.8112 0 19.7111
13.9453 0 19.577
14.0794 0 19.4429
14.2134 0 19.3088
14.3475 0 19.1747
14.4816 0 19.0407
14.6157 0 18.9066
14.7498 0 18.7725
14.8839 0 18.6384
15.018 0 18.5043
15.1521 0 18.3702
15.2862 0 18.2361
15.4202 0 18.102
15.5543 0 17.9679
15.6884 0 17.8339
15.8225 0 17.6998
15.9566 0 17.5657
16.0907 0 17.4316
16.2248 0 17.2975
16.3589 0 17.1634
16.493 0 17.0293
16.627 0 16.8952
16.7611 0 16.7611
16.8952 0 16.627
17.0293 0 16.493
17.1634 0 16.3589
17.2975 0 16.2248
17.4316 0 16.0907
17.5657 0 15.9566
17.6998 0 15.8225
17.8339 0 15.6884
17.9679 0 15.5543
18.102 0 15.4202
18.2361 0 15.2862
18.3702 0 15.1521
18.5043 0 15.018
18.6384 0 14.8839
18.7725 0 14.7498
18.9066 0 14.6157
19.0407 0 14.4816
19.1747 0 14.3475
19.3088 0 14.2134
19.4429 0 14.0794
19.577 0 13.9453
19.7111 0 13.8112
19.8452 0 13.6771
19.9793 0 13.543
20.1134 0 13.4089
20.2475 0 13.2748
20.3815 0 13.1407
20.5156 0 13.0066
20.6497 0 12.8726
20.7838 0 12.7385
20.9179 0 12.6044
21.052 0 12.4703
21.1861 0 12.3362
21.3202 0 12.2021
21.4543 0 12.068
21.5883 0 11.9339
21.7224 0 11.7998
21.8565 0 11.6658
21.9906 0 11.5317
22.1247 0 11.3976
22.2588 0 11.2635
22.3929 0 11.1294
22.527 0 10.9953
22.6611 0 10.8612
22.7951 0 10.7271
22.9292 0 10.593
23.0633 0 10.4589
23.1974 0 10.3249
23.3315 0 10.1908
23.4656 0 10.0567
23.5997 0 9.92259
23.7338 0 9.7885
23.8679 0 9.65442
24.0019 0 9.52033
24.136 0 9.38624
24.2701 0 9.25215
24.4042 0 9.11806
24.5383 0 8.98397
24.6724 0 8.84988
24.8065 0 8.71579
24.9406 0 8.5817
25.0747 0 8.44761
25.2088 0 8.31352
25.3428 0 8.17944
25.4769 0 8.04535
25.611 0 7.91126
25.7451 0 7.77717
25.8792 0 7.64308
26.0133 0 7.50899
26.1474 0 7.3749
26.2815 0 7.24081
26.4156 0 7.10672
26.5496 0 6.97263
26.6837 0 6.83854
26.8178 0 6.70446
26.9519 0 6.57037
27.086 0 6.43628
27.2201 0 6.30219
27.3542 0 6.1681
27.4883 0 6.03401
27.6224 0 5.89992
27.7564 0 5.76583
27.8905 0 5.63174
28.0246 0 5.49765
28.1587 0 5.36356
28.2928 0 5.22947
28.4269 0 5.09539
28.561 0 4.9613
28.6951 0 4.82721
28.8292 0 4.69312
28.9632 0 4.55903
29.0973 0 4.42494
29.2314 0 4.29085
29.3655 0 4.15676
29.4996 0 4.02267
29.6337 0 3.88858
29.7678 0 3.75449
29.9019 0 3.62041
30.036 0 3.48632
30.17 0 3.35223
30.3041 0 3.21814
30.4382 0 3.08405
30.5723 0 2.94996
30.7064 0 2.81587
30.8405 0 2.68178
30.9746 0 2.54769
31.1087 0 2.4136
31.2428 0 2.27951
31.3768 0 2.14543
31.5109 0 2.01134
31.645 0 1.87725
31.7791 0 1.74316
31.9132 0 1.60907
32.0473 0 1.47498
32.1814 0 1.34089
32.3155 0 1.2068
32.4496 0 1.07271
32.5837 0 0.938624
32.7177 0 0.804535
32.8518 0 0.670446
32.9859 0 0.536356
33.12 0 0.402267
33.2541 0 0.268178
33.3882 0 0.134089
33.5223 0 0
33.6564 0 0
33.7905 0 0
33.9245 0 0
34.0586 0 0
34.1927 0 0
34.3268 0 0
34.4609 0 0
34.595 0 0
34.7291 0 0
34.8632 0 0
34.9973 0 0
35.1313 0 0
35.2654 0 0
35.3995 0 0
35.5336 0 0
35.6677 0 0
35.8018 0 0
35.9359 0 0
36.07 0 0
36.2041 0 0
36.3381 0 0
36.4722 0 0
36.6063 0 0
36.7404 0 0
36.8745 0 0
37.0086 0 0
37.1427 0 0
37.2768 0 0
37.4109 0 0
37.5449 0 0
37.679 0 0
37.8131 0 0
37.9472 0 0
38.0813 0 0
38.2154 0 0
38.3495 0 0
38.4836 0 0
38.6177 0 0
38.7518 0 0
38.8858 0 0
39.0199 0 0
39.154 0 0
39.2881 0 0
39.4222 0 0
39.5563 0 0
39.6904 0 0
39.8245 0 0
39.9586 0 0
40.0926 0 0
40.2267 0 0
40.3608 0 0
40.4949 0 0
40.629 0 0
40.7631 0 0
40.8972 0 0
41.0313 0 0
41.1654 0 0
41.2994 0 0
41.4335 0 0
41.5676 0 0
41.7017 0 0
41.8358 0 0
41.9699 0 0
42.104 0 0
42.2381 0 0
42.3722 0 0
42.5062 0 0
42.6403 0 0
42.7744 0 0
42.9085 0 0
43.0426 0 0
43.1767 0 0
43.3108 0 0
43.4449 0 0
43.579 0 0
43.713 0 0
43.8471 0 0
43.9812 0 0
44.1153 0 0
44.2494 0 0
44.3835 0 0
44.5176 0 0
44.6517 0 0
44.7858 0 0
44.9198 0 0
45.0539 0 0
45.188 0 0
45.3221 0 0
45.4562 0 0
45.5903 0 0
45.7244 0 0
45.8585 0 0
45.9926 0 0
46.1267 0 0
46.2607 0 0
46.3948 0 0
46.5289 0 0
46.663 0 0
46.7971 0 0
46.9312 0 0
47.0653 0 0
47.1994 0 0
47.3335 0 0
47.4675 0 0
47.6016 0 0
47.7357 0 0
47.8698 0 0
48.0039 0 0
48.138 0 0
48.2721 0 0
48.4062 0 0
48.5403 0 0
48.6743 0 0
48.8084 0 0
48.9425 0 0
49.0766 0 0
49.2107 0 0
49.3448 0 0
49.4789 0 0
49.613 0 0
49.7471 0 0
49.8811 0 0
50.0152 0 0
50.1493 0 0
50.2834 0 0
50.4175 0 0
50.5516 0 0
50.6857 0 0
50.8198 0 0
50.9539 0 0
51.0879 0 0
51.222 0 0
51.3561 0 0
51.4902 0 0
51.6243 0 0
51.7584 0 0
51.8925 0 0
52.0266 0 0
52.1607 0 0
52.2947 0 0
52.4288 0 0
52.5629 0 0
52.697 0 0
52.8311 0 0
52.9652 0 0
53.0993 0 0
53.2334 0 0
53.3675 0 0
53.5016 0 0
53.6356 0 0
53.7697 0 0
53.9038 0 0
54.0379 0 0
